cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season,class
1.48,x,g,n,f,d,d,n,2.2,2.49,,s,n,,,f,f,,d,a,p
8.14,x,i,n,f,e,c,p,4.56,13.5,,,w,,,t,r,,w,u,e
9.08,f,s,u,f,a,c,w,4.41,14.28,,,w,,,f,f,,d,u,e
3.22,x,d,o,f,a,c,o,4.15,6.09,,,e,,,f,f,,g,u,e
5.35,x,k,n,f,d,c,n,5.27,5.62,,i,y,,,t,,,d,a,p
7.81,f,w,p,f,s,c,p,4.45,10.32,,,p,,,f,f,,d,a,p
3.01,b,y,n,f,,c,n,6.54,2.98,,,w,,,f,f,,d,s,e
4.42,x,,w,f,x,c,w,8.33,10.03,b,,n,,w,t,,,d,a,e
4.28,s,,u,f,a,,w,4.29,7.8,,,w,,,f,f,,d,u,p
9.12,f,y,y,f,,,w,6.51,24.8,b,,n,,w,t,e,,d,w,e
7.21,x,t,n,f,x,c,y,6.04,15.76,,,y,,,f,f,,d,a,p
1.62,x,t,y,f,d,,w,6.57,2.66,,t,y,,,f,f,,d,a,e
5.52,x,h,g,f,a,d,n,5.16,4.68,,t,w,,,t,l,,d,w,e
8.56,x,,n,f,s,c,p,7.76,21.05,b,,u,,,f,f,,d,a,e
0.62,x,g,o,f,,,y,3.36,0.66,,,w,,,f,f,,d,a,p
9.03,s,t,n,t,d,c,n,5.88,15.12,,,n,,,f,f,,h,u,p
7.38,x,e,l,f,x,c,w,7.71,19.59,,,w,,,f,f,,d,u,e
9.47,x,,n,f,p,,w,8.91,31.62,c,,n,,,f,f,p,d,u,p
9.06,f,t,e,f,x,d,w,6.15,16.52,b,,w,,,f,f,,d,u,p
5.04,x,s,n,t,s,d,r,4.65,12.66,r,i,w,,,f,f,,d,a,p
4.3,f,,u,f,a,,w,4.25,7.08,,,w,,,f,f,,d,u,p
10.33,x,i,n,f,a,,n,11.64,14.57,s,,n,,n,f,f,,h,a,p
4.88,b,t,n,f,,,k,10.26,6.08,,,w,,,t,,k,g,u,p
4.3,x,,n,f,x,c,n,6.95,3.87,,,w,,,f,f,,d,a,e
10.04,s,,w,t,d,c,y,5.95,23.92,,,w,,,f,f,,d,a,e
10.25,x,e,y,t,p,,o,6.33,21.56,,,u,,,f,f,,d,a,p
6.29,x,,g,f,d,c,w,5.57,11.02,b,,n,,,f,f,,l,a,p
3.75,x,k,n,f,s,,p,3.93,2.96,,,n,,,f,f,p,g,a,p
8.87,x,,u,t,x,,u,8.28,19.82,s,,n,,u,f,f,,d,a,p
6.94,x,,e,f,x,c,w,6.11,14.94,,s,w,,,f,f,,d,a,e
11.61,s,,w,t,d,c,p,6.15,24.25,,,w,,,f,f,,d,a,e
14.89,x,e,n,t,e,,w,10.05,15.81,,,w,,,t,,,d,u,e
5.96,x,s,n,f,s,,g,5.44,6.98,,y,n,,,f,f,,d,a,p
5.82,b,s,g,f,,,g,8.24,12.55,,s,w,,,t,z,,g,s,p
13.0,p,,n,f,p,,w,11.33,34.46,c,,n,,,f,f,w,d,a,p
8.34,s,t,r,t,d,,g,4.44,12.23,,t,r,,,f,f,,d,a,p
10.93,x,d,y,f,a,,o,13.68,27.33,r,,o,,,t,r,n,d,w,p
5.06,x,,w,f,x,c,n,8.22,10.59,b,,w,,w,t,,,d,u,e
6.53,f,,g,f,d,c,y,5.42,9.74,b,,n,,,f,f,,d,a,p
2.63,b,t,y,f,a,,y,4.76,5.6,,t,y,,,f,f,,m,a,p
3.53,x,i,e,f,,,e,4.38,5.88,,,e,,,f,f,n,d,a,p
6.98,f,t,n,f,x,c,y,5.13,13.59,,,y,,,f,f,,d,a,p
1.44,b,h,n,f,a,,n,3.97,1.68,,t,n,,,f,f,,g,a,p
1.44,b,h,n,f,a,,n,3.84,1.61,,t,n,,,f,f,,d,s,p
10.12,x,h,n,t,p,,n,8.46,18.1,,,n,,w,t,p,,d,u,e
7.15,f,s,n,f,s,c,w,7.11,11.26,b,i,w,,,f,f,,g,u,e
7.87,x,s,n,f,s,,n,5.95,7.08,,y,n,,,f,f,,d,a,p
3.47,s,d,w,f,a,d,p,4.02,2.9,,h,w,,,f,f,,g,u,p
2.02,s,y,n,f,a,d,p,6.37,3.36,,i,n,,,f,f,,l,u,e
4.07,b,s,y,f,,c,y,6.71,6.55,,,y,u,w,t,z,k,d,u,p
6.53,f,,y,f,a,c,w,5.03,12.49,,,g,,,f,f,,d,u,e
4.95,s,,n,f,d,c,w,4.1,6.77,,s,w,,,f,f,,l,u,e
13.59,x,t,n,f,a,d,w,11.44,32.94,,,w,,,f,f,,d,a,p
11.06,o,,n,f,f,f,f,4.49,27.16,,g,n,,,f,f,,d,u,p
5.9,f,,n,f,d,c,w,5.81,11.24,b,,n,,,f,f,,d,a,p
6.82,f,,y,f,x,c,n,6.42,11.02,,,w,,,f,f,,d,a,p
3.41,x,h,o,f,a,c,n,3.6,4.26,,y,o,,,t,z,,d,w,p
1.78,b,g,w,f,,c,n,5.49,2.88,,,n,,,f,f,,m,u,p
5.45,o,,n,f,f,f,f,5.13,20.88,,,n,,,f,f,,d,s,e
3.07,b,d,p,f,a,,r,4.62,6.13,,t,r,,,f,f,,d,u,p
10.18,x,t,k,f,a,d,y,4.09,17.69,,,w,,,f,f,w,d,w,e
1.29,x,k,n,f,,,n,3.82,1.52,,,n,,,f,f,,d,a,p
13.21,x,h,w,f,s,,p,8.76,16.46,,i,n,,,f,f,,d,u,p
6.41,x,s,n,t,s,d,w,4.7,14.18,r,i,n,,,f,f,,d,a,p
9.12,f,,w,f,d,c,w,2.78,16.86,,,w,,,f,f,,d,w,e
5.66,s,d,n,t,d,c,w,7.26,9.46,,,e,,,f,f,,d,a,p
4.01,x,s,e,f,a,c,e,5.39,7.2,,,e,,,f,f,,g,u,e
20.01,p,y,n,f,,,w,30.44,21.01,s,,n,,,t,m,,m,u,e
7.84,x,t,y,t,x,c,y,7.17,16.04,,,w,,,f,f,,d,u,e
3.77,s,d,g,t,d,c,p,4.62,5.3,,,g,,,f,f,,d,u,e
1.3,x,t,y,f,d,,w,5.65,1.75,,t,y,,,f,f,,g,a,e
9.27,x,h,n,t,p,,y,7.51,17.1,,,n,,w,t,p,,d,a,e
1.26,x,,n,f,,,k,4.67,2.4,,s,n,,,f,f,k,g,u,p
4.16,x,,w,f,d,,r,5.35,6.83,,,r,,,f,f,,d,u,e
6.26,x,d,n,t,p,,y,6.09,14.68,,,y,,,f,f,,d,a,e
3.03,s,,u,f,a,,w,3.91,6.21,,,w,,,f,f,,d,u,p
3.12,x,,u,f,,d,w,6.47,4.43,,,w,,,f,f,,d,w,e
3.99,s,,y,f,f,f,f,6.7,7.85,,,o,,,f,f,,d,a,e
0.94,b,t,y,f,,c,g,3.83,2.34,,,n,,,t,f,,g,a,p
13.1,s,,w,t,d,c,w,5.57,23.86,,,w,,,f,f,,d,u,e
10.43,x,e,y,f,x,c,w,7.78,21.53,,,w,,,f,f,,d,u,e
2.43,b,,g,f,a,,g,5.18,2.11,,s,g,,,f,f,,d,a,p
5.76,f,,y,f,s,d,y,5.35,10.23,,i,y,,,f,f,,d,a,p
0.78,x,g,n,f,a,,p,3.75,0.96,,h,k,,,f,f,,d,s,p
6.54,b,s,n,f,,,k,11.21,13.58,,s,w,,,t,z,,g,s,p
11.24,f,e,b,f,,c,b,4.66,18.59,,,w,,,t,f,,d,a,e
9.16,f,d,w,f,s,c,w,7.03,28.3,,,w,,,f,f,,m,s,e
3.7,x,s,o,f,p,,n,4.7,10.81,,,e,,,f,f,,d,u,e
5.35,x,y,n,f,s,,g,4.03,6.77,,,w,,,f,f,,d,u,e
3.68,x,t,o,f,a,c,y,5.69,6.85,,g,o,,,f,f,,g,u,p
4.16,b,t,n,f,x,c,p,6.63,4.66,,i,n,,,f,f,,g,u,p
4.43,s,,e,t,d,c,w,5.5,7.05,,,e,,,f,f,,d,a,p
2.88,b,,g,f,a,,k,6.72,2.0,,,g,,w,f,f,k,g,a,p
9.08,s,s,n,f,x,,n,6.7,23.37,,,p,,,f,f,,d,a,e
4.69,x,,w,f,,c,w,2.82,12.02,,,y,,,f,f,,d,a,p
4.38,o,t,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,a,p
7.58,x,,y,f,e,,w,6.19,12.97,b,,w,u,y,t,g,,d,u,e
2.9,f,w,n,t,d,c,y,3.0,5.15,,,n,,,f,f,,d,u,p
4.77,x,,r,f,d,,r,5.44,6.76,,,l,,,f,f,,d,u,e
3.39,s,d,u,t,d,c,p,4.31,5.25,,,g,,,f,f,,d,a,e
12.9,x,t,n,f,a,d,y,4.84,16.27,,,w,,,f,f,w,d,a,e
9.4,o,k,n,f,,c,o,1.59,15.71,,,y,,,f,f,,d,a,p
4.25,f,t,n,f,d,,o,5.87,6.3,,t,w,,,f,f,,d,w,e
5.12,x,s,u,f,a,c,w,3.04,12.2,,,w,,,f,f,,d,a,e
18.48,x,t,n,f,p,,w,12.07,57.19,,,n,,,f,f,,d,u,e
6.07,s,,n,f,d,c,w,4.68,8.16,,s,w,,,f,f,,h,a,e
7.92,o,,n,f,f,f,f,3.12,25.8,,g,n,,,f,f,,d,s,p
19.85,f,y,n,f,,,w,25.81,20.26,s,,n,,,t,m,,d,a,e
10.58,f,d,w,f,s,c,w,7.41,34.77,,,w,,,f,f,,d,s,e
11.04,f,,b,f,d,c,w,2.24,13.84,,,w,,,f,f,,d,a,e
2.5,b,g,y,f,,c,n,6.67,3.56,,,n,,,f,f,,d,s,p
9.86,x,,n,f,p,,w,8.94,29.27,c,,n,,,f,f,w,d,a,p
3.21,x,h,n,f,,c,n,5.31,5.72,,s,w,,w,f,f,k,d,u,e
7.21,x,y,n,f,a,c,n,10.26,10.83,,y,y,,,t,,,d,u,p
8.01,x,s,n,f,s,,n,5.26,7.26,,y,n,,,f,f,,d,a,p
3.44,f,t,n,f,d,,o,5.88,7.27,,t,w,,,f,f,,d,w,e
1.37,o,k,n,f,,,n,3.42,1.44,,,n,,,f,f,,d,a,p
6.42,x,y,y,f,a,c,n,9.75,9.49,,y,n,,,t,,,d,a,p
11.48,s,t,w,t,d,c,o,5.97,17.12,,,w,,,f,f,,d,u,e
4.08,f,g,n,f,a,d,g,5.29,3.81,,s,n,,,f,f,,d,u,e
21.54,f,k,w,t,d,d,n,7.27,34.52,,,w,,,f,f,,d,w,p
3.03,b,g,w,f,x,d,w,4.19,2.97,,,y,,,f,f,,g,a,e
8.58,s,t,p,t,d,c,p,8.57,15.07,,,p,,,t,f,,d,u,p
7.49,x,t,n,f,s,,n,6.05,8.81,,y,n,,,f,f,,d,w,p
17.93,x,t,n,f,a,d,k,8.65,26.01,,,w,,,f,f,w,d,a,e
4.49,x,,n,f,x,c,w,8.18,9.3,b,,w,,w,t,,,g,u,e
1.55,p,t,n,f,a,c,n,6.75,2.43,,t,y,,,t,e,,m,a,p
0.79,x,,o,f,d,,o,4.03,1.03,,,y,,,f,f,w,g,u,p
4.03,f,t,n,f,x,c,p,5.51,3.98,,i,n,,,f,f,,g,u,p
3.79,x,i,e,f,,,e,4.17,5.34,,,e,,,f,f,n,d,a,p
2.04,f,t,n,f,,,y,9.22,3.46,,,y,,,f,f,,g,a,p
6.41,c,t,n,f,e,,w,13.04,12.97,,s,w,u,w,f,f,,d,u,e
5.1,c,e,y,t,x,c,r,8.03,13.04,,,w,,,f,f,,d,s,p
1.33,f,w,g,f,,d,k,4.53,2.36,,,w,,,f,f,,g,s,e
3.62,b,t,n,f,x,c,p,5.64,4.71,,i,n,,,f,f,,m,a,p
2.34,b,,g,f,a,,g,5.19,2.08,,s,g,,,f,f,,d,u,p
17.64,f,y,n,f,,,w,26.55,19.23,s,,n,,,t,m,,m,a,e
14.08,x,h,g,f,s,,y,8.44,18.62,,i,n,,,f,f,,d,a,p
5.74,f,i,n,f,e,c,p,3.93,13.34,,,w,,,t,l,,w,u,e
8.83,x,e,o,f,a,,y,11.64,22.06,r,,y,,,t,r,n,d,a,p
3.74,c,i,y,f,,c,r,6.15,7.2,,,w,,,f,f,,d,u,p
9.13,s,t,p,t,d,c,p,8.84,16.93,,,p,,,t,f,,d,a,p
8.87,x,h,r,f,,c,w,11.4,17.06,,,w,u,w,t,p,,d,u,p
3.15,x,t,n,f,s,c,n,5.21,6.2,,,w,,n,t,z,,d,u,p
6.99,x,g,n,f,e,,w,7.87,14.7,,y,w,u,w,t,p,,d,a,p
1.36,c,g,n,f,a,,g,4.91,1.62,,,g,,,f,f,,l,u,e
4.49,x,i,k,f,e,,g,6.08,6.77,,,o,,,f,f,,m,a,p
17.34,f,k,w,t,d,d,n,6.83,29.88,,,w,,,f,f,,d,u,p
4.43,b,g,g,f,a,d,g,5.45,3.35,,s,n,,,f,f,,d,s,e
8.89,f,,n,f,s,c,g,6.6,18.6,b,,u,,,f,f,,g,a,e
18.6,x,d,n,f,p,,n,15.05,33.86,s,y,w,,,f,f,,d,u,e
5.98,s,,n,f,d,c,w,5.21,8.61,,s,w,,,f,f,,d,a,e
6.84,x,i,n,f,e,c,n,4.75,13.62,,,w,,,t,l,,w,a,e
5.97,x,,n,f,x,c,w,5.55,13.4,,s,w,,,f,f,,d,a,e
3.56,s,,y,f,f,f,f,6.85,7.36,,,o,,,f,f,,d,a,e
7.95,o,,n,f,,,w,3.92,22.93,,,n,,,f,f,,d,u,e
3.05,b,,g,f,a,,n,10.7,2.63,,,n,,w,f,f,k,g,u,p
8.24,s,l,w,f,d,,w,3.53,9.75,,,w,,,f,f,,g,a,e
7.16,x,,y,f,a,c,w,5.11,13.37,,,w,,,f,f,,d,u,e
6.1,f,t,o,f,s,,n,8.43,12.05,,i,n,,,f,f,,d,a,e
3.05,x,,b,f,,d,w,6.03,4.07,,,w,,,f,f,,d,w,e
2.78,f,d,p,f,a,,y,5.1,6.31,,t,y,,,f,f,,m,u,p
6.59,f,w,p,f,s,c,p,4.32,9.38,,,p,,,f,f,,d,a,p
14.55,x,,g,f,e,,w,11.32,16.34,,,w,u,w,t,g,,d,u,p
5.42,x,,y,f,s,d,y,4.64,12.46,,i,y,,,f,f,,d,a,p
4.65,s,d,n,t,d,c,w,5.1,7.5,,,e,,,f,f,,d,a,p
12.98,f,,g,f,e,,w,10.94,15.94,,,w,u,w,t,g,,d,u,p
3.0,b,y,l,f,s,c,n,5.52,7.41,,y,w,,,t,e,k,m,a,p
3.88,b,t,n,f,x,c,p,4.78,3.5,,i,g,,,f,f,,g,a,p
19.1,x,d,o,f,p,,n,15.21,36.79,s,y,w,,,f,f,,d,a,e
5.11,o,t,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,a,p
6.85,x,t,n,f,x,c,y,6.38,12.37,,,y,,,f,f,,d,a,p
1.07,x,g,w,f,a,d,w,2.83,1.69,,,e,,,f,f,,d,u,p
7.93,s,,o,t,d,,o,4.52,12.08,,,w,,,t,f,,d,a,p
20.88,s,k,n,f,d,c,y,6.91,43.87,,k,n,,,f,f,,d,a,p
6.69,x,s,u,f,a,c,w,4.25,15.6,,,w,,,f,f,,d,u,e
11.63,s,,w,t,d,c,y,6.9,25.56,,,w,,,f,f,,d,a,e
5.78,c,,n,f,f,f,f,6.95,21.91,,,n,,,f,f,,l,s,e
8.54,f,s,o,f,s,,n,9.91,14.37,,i,n,,,f,f,,d,a,e
15.03,f,h,e,f,e,,w,18.81,18.36,s,y,w,u,w,t,p,,d,w,p
4.03,f,d,n,f,x,c,w,4.95,3.36,b,i,n,,,f,f,,l,u,p
3.4,x,s,w,f,d,d,w,3.31,5.68,,,w,,,f,f,,m,w,e
7.27,x,i,n,f,a,c,k,7.77,7.89,,i,n,,k,t,z,k,g,u,p
6.71,x,h,n,f,e,,w,14.12,14.02,,s,n,u,w,f,f,,d,u,e
3.81,b,g,n,f,a,d,g,6.92,4.3,,s,n,,,f,f,,d,a,e
9.13,f,e,b,f,,c,b,5.03,18.74,,,w,,,t,f,,d,a,e
4.24,x,t,n,f,s,c,n,5.91,9.55,,,w,,n,t,z,,d,u,p
4.82,c,i,y,f,,c,r,6.88,7.76,,,w,,,f,f,,d,u,p
7.77,x,e,n,f,a,,n,8.43,12.94,s,,n,,e,f,f,,d,a,p
1.79,b,,g,f,a,,g,4.85,2.07,,s,g,,,f,f,,d,a,p
3.71,f,g,g,f,a,d,g,5.59,3.63,,s,g,,,f,f,,d,s,e
6.52,x,y,n,f,e,c,p,4.68,9.91,,y,n,,,f,f,,d,a,e
14.85,x,h,n,t,p,,y,11.01,31.06,c,,y,,,f,f,,d,a,p
5.67,b,i,e,f,e,,y,6.86,7.76,,,y,,,f,f,,g,a,p
0.91,b,t,n,f,,c,k,3.21,2.24,,,n,,,t,f,,m,a,p
12.95,f,,l,f,d,c,y,2.55,16.0,,,w,,,f,f,,d,w,e
14.82,s,t,k,t,d,c,n,4.81,25.05,,,g,,,f,f,,d,a,p
8.68,f,s,w,f,s,c,w,7.14,34.6,,,w,,,f,f,,m,u,e
9.12,f,d,w,f,s,c,w,6.29,28.67,,,w,,,f,f,,d,u,e
6.86,s,d,n,t,d,c,w,7.06,10.02,,,e,,,f,f,,d,a,p
5.89,x,h,y,t,x,c,y,6.16,12.01,,,w,,,f,f,,d,u,e
4.33,o,,w,f,f,f,f,6.07,34.93,,g,w,,,t,f,,p,a,p
11.4,f,,u,f,s,c,b,9.0,23.89,,,b,,,f,f,,l,a,e
3.6,f,t,n,f,d,,o,5.68,7.16,,t,w,,,f,f,,d,w,e
3.93,b,s,y,f,,c,y,8.45,7.86,,,y,u,w,t,z,k,d,a,p
6.38,x,l,w,f,d,,p,3.3,9.2,,,w,,,f,f,,g,a,e
1.28,f,w,g,f,,d,k,4.7,2.4,,,w,,,f,f,,g,a,e
2.85,x,,u,f,,d,w,6.74,5.02,,,w,,,f,f,,d,a,e
8.47,o,k,y,f,,c,o,1.48,15.16,,,y,,,f,f,,d,w,p
2.94,f,s,w,f,d,d,w,3.14,5.04,,,w,,,f,f,,m,w,e
6.21,x,t,g,f,a,d,n,6.22,4.72,,t,g,,,t,l,,d,a,e
9.41,f,y,e,f,s,c,y,8.02,20.21,,y,u,,,f,f,,d,a,p
3.02,o,s,r,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,w,p
1.19,x,s,y,f,f,f,f,3.48,5.84,,,y,,,f,f,,d,a,p
3.33,b,,n,f,a,,n,8.32,2.51,,,g,,w,f,f,k,g,u,p
2.8,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s,p
3.84,b,y,p,f,e,c,w,5.09,3.88,,k,w,,,t,e,,m,a,p
5.38,f,l,n,f,x,d,e,6.67,5.43,,,n,,,f,f,,d,a,p
4.85,b,t,n,f,,,n,10.7,6.56,,,w,,,t,,k,g,a,p
4.05,x,t,n,f,d,,o,6.33,7.44,,t,w,,,f,f,,d,w,e
4.14,x,h,n,f,a,c,n,4.47,6.97,,y,o,,,t,z,,d,w,p
1.57,c,g,n,f,a,,g,4.88,1.32,,,g,,,f,f,,l,u,e
7.78,f,y,u,f,s,c,y,5.59,15.74,,y,y,,,f,f,,d,a,p
3.28,f,k,n,f,s,,p,3.95,2.86,,,n,,,f,f,p,g,u,p
1.62,x,w,n,f,,d,g,5.29,2.64,,,w,,,f,f,,d,w,e
20.78,x,w,n,f,p,,w,18.86,69.22,,,n,,,f,f,,d,a,e
3.71,x,,y,f,a,c,o,4.59,9.9,,,w,,,f,f,,d,a,e
3.38,x,d,n,f,p,,e,4.97,10.75,,,y,,,f,f,,d,a,e
10.28,x,t,n,t,d,c,n,4.82,14.65,,,n,,,f,f,,d,a,p
3.82,s,d,n,t,d,c,p,4.8,6.24,,,g,,,f,f,,d,u,e
8.95,x,y,y,f,a,c,n,10.24,11.81,,y,n,,,t,,,d,a,p
8.39,x,t,n,f,p,d,y,8.34,14.14,,s,n,,,f,f,,d,a,e
7.97,p,g,n,f,e,,w,7.35,13.43,,y,w,u,w,t,p,,d,a,p
11.3,x,h,o,f,e,,w,15.69,16.34,s,y,w,u,w,t,g,,d,u,p
6.94,o,t,o,f,,c,o,1.69,14.66,,,y,,,f,f,,d,w,p
4.76,x,,y,f,s,d,y,5.68,13.1,,i,y,,,f,f,,d,a,p
6.68,x,,n,t,p,,g,11.21,22.7,,y,w,,,f,f,,d,u,e
8.52,x,y,w,t,,,w,8.74,14.8,s,,w,,,t,l,,g,u,p
6.51,f,,g,f,s,c,g,5.85,18.01,b,,u,,,f,f,,g,a,e
10.18,x,i,n,t,e,,p,9.18,18.33,,y,w,,,t,p,,l,a,e
3.83,s,,u,f,a,,w,4.24,6.74,,,w,,,f,f,,d,a,p
3.11,s,d,w,f,a,d,w,3.36,2.56,,h,w,,,f,f,,g,a,p
17.43,x,s,n,t,p,,e,11.19,32.18,c,,y,,,f,f,,d,u,p
4.89,o,s,n,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u,p
5.14,x,h,n,f,x,c,n,5.01,4.57,,s,n,,,t,r,,d,u,e
7.65,x,,y,f,s,d,y,6.36,15.54,,i,y,,,f,f,,d,a,p
1.9,p,t,n,f,a,c,n,7.58,2.54,,t,y,,,t,e,,m,u,p
9.46,x,t,n,f,a,d,w,10.16,28.41,,,w,,,f,f,,d,a,p
4.63,x,s,y,f,a,c,y,5.85,7.72,,g,o,,,f,f,,g,a,p
6.44,s,,g,f,s,c,b,7.13,20.89,,,u,,,f,f,,l,a,e
6.17,b,k,n,f,d,c,y,5.84,6.88,,i,y,,,t,,,d,u,p
3.16,s,,y,f,f,f,f,5.67,6.52,,,o,,,f,f,,d,a,e
4.87,o,s,g,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,a,p
4.04,x,s,y,f,,c,k,9.54,7.78,,,y,u,w,t,z,r,d,s,p
3.97,s,d,w,f,a,d,p,4.17,2.74,,h,w,,,f,f,,g,a,p
6.68,x,t,n,f,s,,n,5.91,7.57,,y,n,,,f,f,,d,a,p
5.83,x,h,n,f,x,c,n,5.49,6.1,,s,n,,,t,r,,d,w,e
10.79,p,,n,f,p,,p,12.5,33.01,c,,n,,,f,f,w,d,u,p
12.75,f,e,b,f,,c,b,5.0,21.17,,,w,,,t,f,,d,a,e
7.59,o,t,r,f,,c,y,1.43,14.51,,,y,,,f,f,,d,a,p
13.23,x,s,n,t,p,,o,8.84,34.81,c,,y,,,f,f,,d,a,p
0.81,b,g,g,f,,,g,2.97,1.57,,,w,,,f,f,,d,s,e
8.91,x,h,y,f,p,,y,8.24,16.96,,,y,,y,t,,,d,a,e
3.32,x,d,n,f,p,,y,4.1,9.77,,,n,,,f,f,,d,a,e
0.78,b,g,w,f,,,g,2.75,1.29,,,w,,,f,f,,d,s,e
7.61,x,w,p,f,s,c,p,4.63,10.76,,,p,,,f,f,,d,a,p
9.18,x,s,n,f,s,,n,5.66,7.7,,y,n,,,f,f,,d,a,p
7.99,f,s,n,f,s,c,w,6.91,10.27,b,i,n,,,f,f,,m,u,e
1.25,c,g,n,f,a,,w,4.96,1.48,,,g,,,f,f,,d,a,e
3.27,x,h,l,f,s,c,n,5.62,6.32,,y,n,,,t,e,k,m,a,p
2.02,b,g,y,f,,c,n,6.03,3.17,,,n,,,f,f,,g,u,p
3.86,f,d,b,f,x,c,w,4.09,3.0,b,i,n,,,f,f,,d,a,p
4.58,f,l,y,f,x,d,e,5.81,4.98,,,y,,,f,f,,d,a,p
5.51,o,t,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u,p
3.85,x,h,n,f,a,c,n,4.86,6.19,,y,n,,,t,z,,d,w,p
8.58,x,h,y,t,x,c,y,7.28,16.8,,,w,,,f,f,,d,a,e
1.34,x,k,n,f,,,n,4.44,1.76,,,n,,,f,f,,d,w,p
6.13,o,t,n,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u,p
7.25,f,y,n,f,e,c,n,5.79,14.09,,,w,,,t,l,,w,u,e
5.4,x,,e,f,,c,r,4.42,13.34,,,y,,,f,f,,d,a,p
6.06,c,k,w,t,x,c,p,5.8,13.12,,,w,,,f,f,,d,u,p
4.34,x,i,e,f,,,e,4.89,5.52,,,e,,,f,f,n,d,a,p
7.13,f,y,e,f,s,c,y,6.87,16.91,,y,u,,,f,f,,d,a,p
8.46,f,i,n,f,e,c,n,4.59,12.8,,,w,,,t,l,,w,a,e
4.16,f,y,g,f,s,,g,4.31,5.63,,,w,,,f,f,,d,a,e
3.5,x,,y,f,a,c,o,2.85,8.59,,,w,,,f,f,,d,u,e
5.37,x,i,n,f,a,c,n,7.49,6.76,,i,n,,k,t,z,k,g,u,p
8.71,o,,n,f,,,w,5.56,27.01,,,n,,,f,f,,d,a,e
3.86,x,t,n,f,d,,o,5.54,6.47,,t,o,,,f,f,,d,a,e
9.86,o,,n,f,f,f,f,3.75,25.39,,g,n,,,f,f,,d,s,p
4.29,x,t,l,f,s,c,u,6.61,7.55,,y,n,,,t,e,u,m,a,p
0.87,b,t,n,f,,c,g,2.96,2.34,,,n,,,t,f,,m,a,p
7.07,x,d,n,t,p,,y,6.73,16.98,,,y,,,f,f,,d,u,e
4.24,x,,w,f,x,c,n,7.48,7.98,b,,w,,w,t,,,g,a,e
7.08,s,d,e,t,d,c,y,5.35,7.92,,,e,,,f,f,,d,a,p
4.5,f,y,n,f,s,,y,3.95,6.88,,,w,,,f,f,,d,a,e
2.47,f,s,o,f,d,,y,3.11,5.48,,,o,,,f,f,,m,a,p
7.64,x,g,n,f,e,,w,8.31,13.47,,y,w,u,w,t,p,,d,a,p
16.23,x,t,n,f,a,d,k,6.72,22.99,,,w,,,f,f,w,d,u,e
7.12,x,i,n,f,a,c,k,7.82,7.95,,i,n,,k,t,z,k,g,a,p
9.08,f,h,e,f,x,d,w,6.27,19.46,b,,w,,,f,f,,d,u,p
8.5,x,y,n,f,a,c,n,12.13,11.99,,y,y,,,t,,,d,u,p
3.32,f,d,n,f,x,c,w,4.95,2.99,b,s,n,,,f,f,,d,u,p
12.24,f,e,b,f,,c,b,5.29,20.92,,,w,,,t,f,,d,a,e
4.2,x,t,n,f,p,,n,5.87,11.39,,,e,,,f,f,,d,u,e
7.47,x,y,w,t,,,n,8.41,15.25,s,,w,,,t,l,,g,u,p
4.97,f,y,n,f,s,,g,4.28,7.17,,,w,,,f,f,,d,u,e
4.79,x,,w,f,x,c,w,8.18,8.5,b,,w,,w,t,,,d,a,e
1.33,x,,n,f,,,n,5.12,2.42,,s,n,,,f,f,k,g,a,p
3.39,o,,w,f,f,f,f,5.47,28.31,,g,w,,,t,f,,p,u,p
2.82,x,,n,f,x,c,p,8.06,4.28,,,p,,,f,f,,l,u,p
7.92,x,,n,f,p,,w,9.62,33.7,c,,n,,,f,f,w,d,a,p
3.96,b,g,w,f,x,d,w,4.43,3.42,,,y,,,f,f,,g,a,e
17.66,s,t,n,f,a,d,y,7.41,24.8,,,w,,,f,f,w,d,w,e
1.53,x,g,y,f,d,d,n,2.02,2.56,,s,n,,,f,f,,d,u,p
53.87,o,y,y,f,p,,y,6.11,30.59,,k,n,,,f,f,,d,s,e
3.02,b,y,n,f,,c,g,5.47,4.59,s,s,w,,,f,f,,d,u,p
6.76,b,t,w,f,e,c,w,12.94,14.03,,y,w,u,w,t,l,,d,u,p
3.76,f,h,n,f,,c,n,6.5,5.97,,s,w,,w,f,f,k,d,a,e
1.36,b,,n,f,a,,g,4.54,1.81,,s,n,,,f,f,,d,u,p
13.19,x,s,n,f,s,,y,6.95,17.52,,i,n,,,f,f,,d,a,p
7.44,f,h,r,f,,c,w,10.62,11.01,,,w,u,w,t,g,,d,u,p
4.38,x,h,y,f,a,c,y,6.19,7.7,,g,o,,,f,f,,g,a,p
